flight_no,airline,origin,destination,dep_hour,weather,delay_minutes
EV4354,SpiceJet,MKE,IAH,5,STORM,13
US425,US Airways,PDX,PHX,5,SUNNY,60
AA89,American Airlines,IAH,MIA,5,SNOW,54
DL2099,Delta,BNA,DTW,5,SNOW,-6
EV4685,GoAir,BRO,IAH,5,RAIN,-5
EV5583,Vistara,VPS,ATL,5,SNOW,-15
OO5484,Akasa Air,BOI,SFO,5,SNOW,3
OO7370,Vistara,BJI,MSP,5,STORM,9
HA103,Vistara,HNL,LIH,5,STORM,-12
EV5187,GoAir,BNA,ATL,5,CLEAR,5
MQ2859,Air India,SGF,DFW,5,SNOW,NA
UA1201,GoAir,PHL,IAH,5,FOG,6
UA1221,SpiceJet,PDX,DEN,5,CLEAR,4
UA1607,Air India,SEA,DEN,5,FOG,-1
AA328,American Airlines,DEN,DFW,5,SUNNY,66
EV5764,IndiGo,SBN,ORD,5,CLOUDY,-14
F91279,Air India,PHL,MCO,5,CLOUDY,-18
NK409,Spirit Airlines,ORD,FLL,5,SNOW,-25
OO5460,AirAsia,RDD,SFO,5,STORM,NA
OO6391,SpiceJet,EUG,DEN,5,RAIN,13
UA1532,Akasa Air,SFO,DEN,5,CLEAR,26
UA1167,AirAsia,ORD,DEN,5,SUNNY,3
UA1012,Air India,IAD,IAH,5,SNOW,14
B62001,GoAir,BUF,JFK,5,CLEAR,-15
B62807,GoAir,PWM,JFK,5,SNOW,-25
B62023,AirAsia,JFK,SJU,5,CLEAR,19
EV4557,Air India,CRP,IAH,5,STORM,-21
EV5241,Vistara,PIA,DTW,5,RAIN,-18
EV5498,GoAir,ORD,DTW,5,SNOW,-3
OO6512,Vistara,FAT,LAX,5,SUNNY,0
UA1577,GoAir,SMF,DEN,5,STORM,78
OO4986,Air India,AUS,LAX,5,CLEAR,-16
B6727,Air India,BOS,BWI,5,SNOW,-21
B61012,SpiceJet,ORD,BOS,5,SNOW,-33
DL824,Delta,PHX,DTW,5,RAIN,128
DL941,Delta,MCI,ATL,5,SNOW,-15
DL2079,Delta,BOS,DTW,5,CLOUDY,-21
EV3268,Akasa Air,ATL,IAD,5,STORM,14
EV4160,IndiGo,JAX,EWR,5,RAIN,-14
OO6285,Vistara,MFR,DEN,5,STORM,25
OO5184,Air India,SLC,IAH,5,SNOW,-16
OO6358,Air India,IDA,DEN,5,FOG,7
F9161,AirAsia,MSN,DEN,5,STORM,-11
OO4833,AirAsia,MKE,DTW,5,CLOUDY,-21
UA1119,Air India,GEG,DEN,5,CLOUDY,-6
UA1237,GoAir,SEA,IAH,5,RAIN,11
UA1540,SpiceJet,DCA,IAH,5,FOG,-7
AA1433,American Airlines,SAT,DFW,5,FOG,-12
AA2299,American Airlines,JFK,MIA,5,FOG,69
B6721,AirAsia,BOS,PBI,5,SUNNY,-9
B6917,Vistara,BOS,JFK,5,FOG,-13
B6939,Air India,JFK,BQN,5,FOG,-19
DL1890,Delta,DFW,ATL,5,SNOW,-2
EV4646,Akasa Air,CHS,EWR,5,STORM,1
F9365,AirAsia,MKE,DEN,5,SUNNY,17
F9117,Air India,MSP,DEN,5,SUNNY,-8
MQ2926,Air India,CHS,DFW,5,SNOW,NA
OO2599,Vistara,DEN,LAX,5,CLEAR,56
OO5482,IndiGo,SBA,DEN,5,SNOW,10
OO6457,IndiGo,SMX,LAX,5,SNOW,NA
HA218,Akasa Air,HNL,KOA,5,SNOW,-6
B6515,GoAir,BOS,BUF,5,RAIN,-6
UA228,Vistara,PDX,EWR,5,SNOW,-35
US641,US Airways,IND,PHX,5,RAIN,4
UA495,Air India,LAX,DEN,5,SNOW,-9
UA507,IndiGo,CLE,IAH,5,STORM,43
UA1553,Vistara,BOS,EWR,5,CLEAR,-19
US403,US Airways,DEN,PHX,5,STORM,-10
US446,US Airways,MCI,PHX,5,RAIN,-5
AA1178,American Airlines,AUS,DFW,5,STORM,-1
AA2410,American Airlines,LAX,DFW,5,CLOUDY,2
DL2453,Delta,GSP,ATL,5,STORM,0
B62228,GoAir,MCO,EWR,5,STORM,-7
EV4555,GoAir,MCI,IAH,5,FOG,1
EV5698,IndiGo,BDL,IAD,5,SNOW,-19
MQ3534,SpiceJet,ABI,DFW,5,SNOW,NA
EV4339,SpiceJet,RIC,IAH,5,STORM,13
OO6204,Vistara,BFL,DEN,5,STORM,20
OO6261,Vistara,SAT,SFO,5,RAIN,-19
OO5160,GoAir,OMA,IAH,5,FOG,21
OO6224,AirAsia,RDM,DEN,5,CLOUDY,6
B6860,Vistara,FLL,BDL,5,SNOW,9
EV5230,GoAir,CID,ATL,5,CLOUDY,-17
WN526,AirAsia,SFO,DEN,5,STORM,-2
UA1222,Air India,MCO,LAX,5,RAIN,4
UA1507,Air India,TPA,EWR,5,SUNNY,-13
AA1094,American Airlines,SEA,DFW,5,SUNNY,16
AA1233,American Airlines,BOS,DFW,5,SNOW,-10
B6115,IndiGo,SYR,JFK,5,SUNNY,-13
B6185,Air India,ROC,JFK,5,CLOUDY,-17
EV2519,Vistara,TYR,DFW,5,RAIN,-9
EV3928,AirAsia,MCI,ORD,5,CLEAR,-12
EV3941,Akasa Air,LAN,ORD,5,STORM,6
EV5976,Vistara,BUF,EWR,5,SNOW,226
MQ3161,GoAir,XNA,DFW,5,FOG,NA
EV5677,IndiGo,GSO,EWR,5,CLEAR,-22
NK224,Spirit Airlines,ORD,LGA,5,STORM,27
UA1457,GoAir,LAX,IAH,5,FOG,-16
AA1205,American Airlines,EWR,MIA,5,CLOUDY,-13
OO5547,Akasa Air,ONT,DEN,5,RAIN,116
UA210,Air India,MSP,DEN,6,SUNNY,-23
UA214,Air India,PBI,IAH,6,STORM,-3
UA247,SpiceJet,PHX,IAH,6,STORM,123
UA256,Vistara,RSW,IAH,6,SUNNY,-1
UA319,Vistara,EWR,MCO,6,CLEAR,-18
UA374,AirAsia,OMA,ORD,6,SNOW,-6
B61678,AirAsia,JAX,JFK,6,SUNNY,8
B61790,AirAsia,DCA,BOS,6,CLOUDY,1
DL421,Delta,JFK,ATL,6,CLEAR,-19
DL731,Delta,LGA,DTW,6,CLEAR,-1
DL743,Delta,RNO,SLC,6,CLEAR,18
DL750,Delta,BOS,JFK,6,CLOUDY,-8
DL809,Delta,BOS,MSP,6,STORM,2
DL904,Delta,LGA,ATL,6,SNOW,-32
DL977,Delta,ORD,ATL,6,SNOW,-21
DL1088,Delta,ANC,MSP,6,SNOW,-40
DL1098,Delta,ATW,ATL,6,RAIN,-32
DL1205,Delta,PHX,ATL,6,CLEAR,107
DL1234,Delta,PNS,ATL,6,FOG,-20
DL1235,Delta,MCO,SLC,6,FOG,-10
AA1462,American Airlines,ONT,DFW,6,CLEAR,NA
AA913,American Airlines,DCA,MIA,6,FOG,-1
DL1961,Delta,RIC,ATL,6,CLEAR,-28
DL2154,Delta,LAX,ATL,6,CLOUDY,-20
DL2282,Delta,BOS,ATL,6,FOG,-22
DL2417,Delta,LAS,DTW,6,RAIN,-22
DL1540,Delta,OKC,ATL,6,CLOUDY,-3
DL1574,Delta,MCO,MSP,6,STORM,-7
DL1700,Delta,MEM,ATL,6,SUNNY,-6
DL1867,Delta,TUL,ATL,6,CLOUDY,-24
DL1937,Delta,BWI,DTW,6,FOG,-19
B6159,Akasa Air,BOS,PHL,6,CLEAR,-21
B6198,AirAsia,MCO,LGA,6,SUNNY,2
B61502,Akasa Air,FLL,JFK,6,SNOW,17
B61504,SpiceJet,SJU,JFK,6,FOG,59
B61600,AirAsia,BOS,DCA,6,SNOW,-23
EV2533,Vistara,TYS,DFW,6,STORM,10
EV4213,IndiGo,MHT,ORD,6,CLOUDY,-4
EV4431,AirAsia,SAV,EWR,6,CLEAR,85
EV4411,IndiGo,MEM,EWR,6,CLOUDY,-20
EV4756,Air India,CLT,ORD,6,CLEAR,18
EV4768,Akasa Air,TYS,IAD,6,SUNNY,-2
EV4740,Air India,GRB,ORD,6,RAIN,-10
EV5103,AirAsia,ABE,DTW,6,CLEAR,-20
EV5275,AirAsia,JAN,ATL,6,SNOW,-10
EV5491,AirAsia,OAJ,ATL,6,CLEAR,-3
EV5978,AirAsia,FAR,ORD,6,FOG,0
EV5917,Akasa Air,JAN,ORD,6,SUNNY,-19
EV6133,AirAsia,ERI,ORD,6,FOG,19
EV6082,GoAir,ATW,ORD,6,CLEAR,0
EV6122,GoAir,LEX,ORD,6,CLOUDY,-11
EV6143,Akasa Air,CWA,ORD,6,CLOUDY,-3
F9865,Air India,MSO,DEN,6,CLEAR,NA
F91256,Air India,ORD,MIA,6,STORM,NA
F91104,Akasa Air,CLE,FLL,6,CLEAR,-22
F91057,GoAir,IAH,SFO,6,CLOUDY,-6
F9144,AirAsia,SEA,DEN,6,CLOUDY,0
F91056,GoAir,SFO,IAH,6,FOG,1
F9901,Air India,TTN,ATL,6,FOG,-11
F9902,IndiGo,ATL,TTN,6,STORM,24
HA202,IndiGo,HNL,ITO,6,SNOW,-4
MQ2898,Air India,MAF,DFW,6,STORM,NA
MQ2957,Air India,AMA,DFW,6,CLOUDY,NA
MQ2962,IndiGo,CLL,DFW,6,CLEAR,NA
MQ3014,GoAir,HOU,DFW,6,CLEAR,NA
MQ3015,SpiceJet,DFW,BTR,6,CLOUDY,NA
MQ3079,Vistara,JLN,DFW,6,CLOUDY,NA
MQ3189,AirAsia,CID,DFW,6,SUNNY,NA
MQ3302,AirAsia,MLI,DFW,6,STORM,NA
MQ3338,Air India,GSP,DFW,6,CLOUDY,NA
MQ3350,GoAir,RDU,JFK,6,CLOUDY,3
MQ3355,Air India,CVG,MIA,6,STORM,-7
MQ3251,Akasa Air,MHK,DFW,6,STORM,NA
MQ3377,SpiceJet,MOB,DFW,6,SUNNY,NA
MQ3441,Air India,TLH,DFW,6,FOG,NA
MQ3540,IndiGo,PNS,MIA,6,CLOUDY,-12
MQ3488,GoAir,BHM,MIA,6,CLEAR,-5
MQ3597,AirAsia,CVG,DFW,6,CLEAR,NA
MQ3611,Vistara,CAE,DFW,6,FOG,NA
MQ3678,Air India,TXK,DFW,6,CLEAR,NA
NK188,Spirit Airlines,OAK,LAS,6,FOG,-8
NK925,Spirit Airlines,DFW,OAK,6,CLOUDY,-29
NK943,Spirit Airlines,ACY,RSW,6,CLEAR,86
NK316,Spirit Airlines,DTW,LGA,6,STORM,58
NK972,Spirit Airlines,DFW,FLL,6,RAIN,35
OO2622,IndiGo,SMF,LAX,6,FOG,-2
OO6360,IndiGo,RAP,DEN,6,FOG,8
OO6369,Vistara,TUS,SFO,6,CLOUDY,6
OO5330,SpiceJet,EAU,ORD,6,STORM,-29
OO5292,AirAsia,DLH,ORD,6,SUNNY,-4
OO6276,AirAsia,FSD,ORD,6,CLEAR,2
OO6235,GoAir,AUS,SFO,6,CLOUDY,-16
OO3489,Air India,FAT,SEA,6,FOG,3
OO3461,IndiGo,ONT,PDX,6,CLOUDY,-19
OO7423,Vistara,INL,BRD,6,SNOW,-3
OO5318,SpiceJet,CMX,ORD,6,FOG,NA
OO5445,AirAsia,SMF,SFO,6,FOG,NA
OO5242,Air India,BOI,LAX,6,SNOW,30
OO5462,Akasa Air,SPI,ORD,6,SUNNY,5
OO5466,Akasa Air,CLD,LAX,6,RAIN,88
OO5550,Vistara,COD,DEN,6,SUNNY,-1
OO5574,SpiceJet,FAT,SFO,6,RAIN,7
MQ3221,GoAir,CMH,MIA,6,RAIN,-11
MQ3224,Air India,LRD,DFW,6,RAIN,NA
OO5522,IndiGo,PSC,DEN,6,CLOUDY,4
OO5592,SpiceJet,CPR,DEN,6,STORM,9
OO5604,SpiceJet,ACV,SFO,6,RAIN,10
OO5170,AirAsia,DAL,IAH,6,STORM,12
OO5429,GoAir,PAH,ORD,6,FOG,-23
OO5435,GoAir,PSC,SFO,6,STORM,-1
OO6378,GoAir,CID,ORD,6,STORM,-1
OO6401,SpiceJet,EUG,SFO,6,RAIN,-7
OO6332,IndiGo,DFW,DEN,6,CLEAR,9
OO6346,IndiGo,MRY,SFO,6,CLOUDY,-12
OO6465,IndiGo,SLC,LAX,6,STORM,-6
OO7392,AirAsia,ESC,DTW,6,SNOW,-21
OO6403,Vistara,MFR,SFO,6,STORM,-6
OO6497,Akasa Air,FAT,DEN,6,SNOW,33
UA576,AirAsia,SFO,EWR,6,CLEAR,-23
UA1410,GoAir,LAS,IAH,6,SUNNY,-7
UA1689,Akasa Air,EWR,SFO,6,FOG,-20
EV6020,IndiGo,ISN,DEN,6,SNOW,-9
HA113,Vistara,HNL,LIH,6,FOG,-2
OO5629,GoAir,PSP,SFO,6,SUNNY,17
OO6420,IndiGo,PSP,DEN,6,CLEAR,144
UA223,IndiGo,SAT,IAH,6,SUNNY,0
UA996,IndiGo,LAX,EWR,6,CLOUDY,-32
UA1721,GoAir,LAX,SFO,6,CLOUDY,-14
EV4390,Air India,CLE,IAD,6,RAIN,-1
EV5732,Akasa Air,CAE,IAD,6,STORM,7
F9756,Akasa Air,PHX,DEN,6,CLOUDY,4
UA234,SpiceJet,SMF,IAH,6,CLOUDY,19
UA415,Vistara,JFK,SFO,6,RAIN,-4
US647,US Airways,BOS,PHX,6,CLEAR,13
US829,US Airways,BOS,CLT,6,RAIN,-3
US1743,US Airways,DTW,MIA,6,SUNNY,-26
UA1023,Vistara,FLL,EWR,6,FOG,-10
WN2505,GoAir,GEG,DEN,6,CLOUDY,-9
WN239,IndiGo,SAT,STL,6,CLEAR,-22
WN474,AirAsia,ONT,DEN,6,STORM,0
UA1245,SpiceJet,CLE,EWR,6,SUNNY,-21
US560,US Airways,DFW,PHX,6,SNOW,8
AA310,American Airlines,MFE,DFW,6,RAIN,NA
AA375,American Airlines,STL,DFW,6,SNOW,-17
AA378,American Airlines,SJU,MIA,6,CLEAR,11
AA1291,American Airlines,MKE,DFW,6,FOG,-11
AS320,Alaska Airlines,SEA,SFO,6,STORM,-3
AS602,Alaska Airlines,SEA,LAS,6,SNOW,0
B6233,GoAir,BTV,JFK,6,RAIN,-16
B6601,Akasa Air,JFK,FLL,6,RAIN,-2
B6735,Vistara,SFO,LGB,6,CLEAR,-14
B6922,Akasa Air,PBI,BOS,6,FOG,28
B61184,AirAsia,MCO,JFK,6,CLEAR,10
B61434,Akasa Air,SJU,MCO,6,SNOW,88
DL1065,Delta,BDL,ATL,6,FOG,-26
DL1456,Delta,RDU,ATL,6,FOG,39
DL1723,Delta,SFO,SLC,6,FOG,-2
EV4642,Air India,TUS,IAH,6,CLOUDY,19
EV4928,Akasa Air,PIA,ATL,6,SUNNY,-24
F9609,Akasa Air,IND,DEN,6,SNOW,-19
F9821,IndiGo,MCI,DEN,6,SUNNY,6
F9133,IndiGo,DFW,DEN,6,CLOUDY,52
MQ2881,IndiGo,FSM,DFW,6,SUNNY,NA
MQ2771,SpiceJet,AEX,DFW,6,SNOW,NA
MQ3288,Air India,SPS,DFW,6,CLEAR,NA
MQ3328,Vistara,ACT,DFW,6,STORM,NA
MQ3408,Akasa Air,SJT,DFW,6,FOG,NA
MQ3643,GoAir,JAN,DFW,6,CLEAR,NA
HA286,GoAir,HNL,OGG,6,STORM,-1
OO5181,Akasa Air,OKC,LAX,6,FOG,9
OO6499,Vistara,FAR,DEN,6,RAIN,-3
UA1160,IndiGo,SFO,IAH,6,FOG,-2
UA1601,GoAir,EWR,FLL,6,STORM,-37
OO6461,IndiGo,MTJ,DEN,6,RAIN,2
NK606,Spirit Airlines,RSW,DTW,6,CLEAR,7
OO7389,AirAsia,GCC,RKS,6,SUNNY,-9
UA220,IndiGo,MSY,EWR,6,FOG,-14
UA654,Vistara,ORD,MCO,6,RAIN,-21
EV6119,AirAsia,RIC,ORD,6,CLOUDY,4
OO5456,SpiceJet,RDM,SFO,6,CLOUDY,-23
HA205,IndiGo,OGG,HNL,6,STORM,-4
OO4494,AirAsia,SJC,SLC,6,SNOW,12
OO5370,Air India,ORD,MBS,6,RAIN,-13
US1709,US Airways,EWR,CLT,6,SNOW,15
WN828,AirAsia,PHX,BWI,6,SNOW,-24
UA1632,AirAsia,SEA,IAD,6,FOG,-29
UA1725,GoAir,LAS,SFO,6,CLOUDY,-20
AA168,American Airlines,DFW,MIA,6,SUNNY,-18
AA1315,American Airlines,BNA,DFW,6,FOG,NA
AA1336,American Airlines,PHX,DFW,6,CLEAR,-6
AA1619,American Airlines,BOS,MIA,6,SUNNY,-17
AA1686,American Airlines,LAX,STL,6,CLEAR,-11
AS345,Alaska Airlines,OAK,SEA,6,SUNNY,-8
AS454,Alaska Airlines,SEA,LAX,6,CLOUDY,-4
B657,Akasa Air,BOS,IAD,6,SUNNY,-24
B624,AirAsia,LAX,JFK,6,FOG,-11
B61279,Akasa Air,DCA,FLL,6,FOG,-14
B61836,Air India,DTW,BOS,6,SUNNY,-35
AA1361,American Airlines,BNA,LAX,6,STORM,-8
DL327,Delta,PHL,ATL,6,RAIN,-31
DL1492,Delta,PHX,MSP,6,CLOUDY,93
B61554,Vistara,SJU,FLL,6,SNOW,19
EV4556,Vistara,VPS,IAH,6,FOG,-3
EV6071,SpiceJet,GUC,DEN,6,STORM,12
F91252,Akasa Air,MIA,LGA,6,RAIN,40
MQ3323,Vistara,RIC,MIA,6,RAIN,-15
MQ3601,Air India,DTW,LGA,6,RAIN,-25
MQ3551,IndiGo,ORF,MIA,6,SNOW,-4
OO5572,AirAsia,MOT,DEN,6,CLEAR,-29
AA1312,American Airlines,STL,MIA,6,CLEAR,-28
B6269,IndiGo,BOS,FLL,6,RAIN,-20
EV4506,AirAsia,MLU,IAH,6,SUNNY,28
